Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2023-06-26 07:06:02.132859,Vranov nad Top. M. R. Štefánika,19,12,x,4,x,x,x,x,x
2023-06-26 07:06:02.132859,Veľká Ida Letná,20,12,x,x,334,x,x,x,x
2023-06-26 07:06:02.132859,Trnava Kollárova,17,11,x,x,541,37,89,0.3,x
2023-06-26 07:06:02.132859,Trenčín Hasičská,16,9,x,4,205,20,30,0.2,x
2023-06-26 07:06:02.132859,Trebišov T. G. Masaryka,24,12,47,x,x,5,10,x,x
2023-06-26 07:06:02.132859,Topoľníky Aszód EMEP,10,11,54,4,x,3,4,x,PDL
2023-06-26 07:06:02.132859,Strážske Mierová,20,12,x,x,x,x,x,x,x
2023-06-26 07:06:02.132859,Stará Lesná AÚ SAV EMEP,19,14,*,x,x,2,3,x,x
2023-06-26 07:06:02.132859,Starina Vodná nádrž EMEP,x,x,23,x,x,2,2,x,1
2023-06-26 07:06:02.132859,Sereď Vinárska,12,9,x,x,x,14,17,x,x
2023-06-26 07:06:02.132859,Senica Hviezdoslavova,*,*,x,14,x,x,x,x,x
2023-06-26 07:06:02.132859,Senec Boldocká,18,7,46,x,212,18,21,x,x
2023-06-26 07:06:02.132859,Ružomberok Riadok,13,9,27,5,176,16,24,0.3,x
2023-06-26 07:06:02.132859,Rovinka mobilná AMS,12,x,x,3,138,12,14,0.5,x
2023-06-26 07:06:02.132859,Rohožník Senická,18,9,x,*,*,*,*,0.1,x
2023-06-26 07:06:02.132859,Púchov 1. mája,10,8,x,1,212,6,9,x,x
2023-06-26 07:06:02.132859,Prievidza Malonecpalská,17,6,22,*,x,18,24,x,x
2023-06-26 07:06:02.132859,Prešov Arm. gen. L. Svobodu,15,11,x,x,97,26,45,0.1,x
2023-06-26 07:06:02.132859,Poprad Železničná,16,12,x,x,x,7,7,x,x
2023-06-26 07:06:02.132859,Plášťovce,9,10,19,x,x,6,10,x,x
2023-06-26 07:06:02.132859,Pezinok Obrancov mieru,4,2,51,x,x,5,7,x,x
2023-06-26 07:06:02.132859,Oščadnica,9,4,17,PDL,x,2,4,x,x
2023-06-26 07:06:02.132859,Nitra Štúrova,*,12,x,8,185,29,50,*,x
2023-06-26 07:06:02.132859,Nitra Janíkovce,16,11,48,x,x,*,*,x,x
2023-06-26 07:06:02.132859,Martin Jesenského,16,11,x,x,226,14,28,0.2,x
2023-06-26 07:06:02.132859,Lučenec Gemerská cesta,17,7,29,x,168,7,10,PDL,x
2023-06-26 07:06:02.132859,Liptovský Mikuláš Školská,15,10,x,2,x,9,14,x,x
2023-06-26 07:06:02.132859,Krompachy SNP,18,11,x,PDL,506,10,16,0.5,x
2023-06-26 07:06:02.132859,Košice Štefánikova,19,15,x,3,328,11,14,0.1,x
2023-06-26 07:06:02.132859,Košice Ďumbierska,x,x,75,x,x,x,x,x,x
2023-06-26 07:06:02.132859,Košice Amurská,17,14,x,x,x,x,x,x,x
2023-06-26 07:06:02.132859,Komárno Vnútorná okružná,12,3,37,x,x,16,19,x,x
2023-06-26 07:06:02.132859,Kolonické sedlo,18,8,x,x,x,x,x,x,x
2023-06-26 07:06:02.132859,Kojšovská hoľa,x,x,94,x,x,1,2,x,x
2023-06-26 07:06:02.132859,Jelšava Jesenského,18,10,43,x,x,6,7,x,x
2023-06-26 07:06:02.132859,Humenné Nám. slobody,23,12,26,x,x,3,5,x,x
2023-06-26 07:06:02.132859,Hnúšťa Hlavná,25,10,x,x,x,x,x,x,x
2023-06-26 07:06:02.132859,Handlová Morovianska cesta,12,PDL,x,5,x,x,x,x,x
2023-06-26 07:06:02.132859,Gánovce Meteo. st,x,x,22,x,x,8,12,x,x
2023-06-26 07:06:02.132859,Chopok EMEP,x,x,108,x,x,2,3,x,x
2023-06-26 07:06:02.132859,Bystričany Rozvodňa SSE,18,11,x,34,x,x,x,x,x
